country_code,lat,lon
ABW,12.5211,-69.9683
AIA,18.2206,-63.0686
AND,42.5063,1.5218
ATG,17.0608,-61.7964
BHR,26.0667,50.5577
BLZ,17.1899,-88.4976
BMU,32.3078,-64.7505
BRB,13.1939,-59.5432
BRN,4.5353,114.7277
BVT,-54.4232,3.4132
COM,-11.8750,43.8722
CPV,16.5388,-23.0418
CUW,12.1696,-68.9900
CYM,19.3133,-81.2546
DMA,15.4150,-61.3710
FJI,-17.7134,178.0650
FSM,7.4256,150.5508
GIB,36.1408,-5.3536
GRD,12.1165,-61.6790
GUM,13.4443,144.7937
HKG,22.3193,114.1694
ISL,64.9631,-19.0208
KIR,1.8709,-157.3630
KNA,17.3578,-62.7830
LCA,13.9094,-60.9789
LIE,47.1660,9.5554
LUX,49.8153,6.1296
MAC,22.1987,113.5439
MDV,3.2028,73.2207
MHL,7.1315,171.1845
MLT,35.9375,14.3754
MNP,15.0979,145.6739
MNG,46.8625,103.8467
MUS,-20.3484,57.5522
NCL,-20.9043,165.6180
NIU,-19.0544,-169.8672
NRU,-0.5228,166.9315
PLW,7.5150,134.5825
PYF,-17.6797,-149.4068
QAT,25.3548,51.1839
REU,-21.1151,55.5364
SGP,1.3521,103.8198
SHN,-15.9650,-5.7089
SLB,-9.6457,160.1562
SMR,43.9424,12.4578
SYC,-4.6796,55.4920
TCA,21.6940,-71.7979
TKL,-8.9674,-171.8559
TON,-21.1790,-175.1982
TUV,-7.1095,177.6493
VCT,12.9843,-61.2872
VGB,18.4207,-64.6400
VIR,18.3358,-64.8963
VUT,-15.3767,166.9592
WSM,-13.7590,-172.1046